rowid,annee,DEPARTEMENT,ecart_region,indicateur,valeur
355,2017,SEINE ET MARNE,4.19,surface_habitable_moyenne_en_m2,66.43
356,2016,HAUTE LOIRE,-0.33,surface_habitable_moyenne_en_m2,66.57
357,2018,HAUTE LOIRE,-0.53,surface_habitable_moyenne_en_m2,65.75
358,2017,HAUTE LOIRE,-0.9,surface_habitable_moyenne_en_m2,65.87
359,2016,MEUSE,1.82,surface_habitable_moyenne_en_m2,71.01
360,2017,MEUSE,1.83,surface_habitable_moyenne_en_m2,70.98
361,2018,MEUSE,2.23,surface_habitable_moyenne_en_m2,70.91
362,2016,SOMME,-2.62,surface_habitable_moyenne_en_m2,66.35
363,2018,SOMME,-2.88,surface_habitable_moyenne_en_m2,65.75
364,2017,SOMME,-2.88,surface_habitable_moyenne_en_m2,66.06
365,2016,ALPES DE HAUTE PROVENCE,3.07,surface_habitable_moyenne_en_m2,69.64
366,2018,ALPES DE HAUTE PROVENCE,1.56,surface_habitable_moyenne_en_m2,67.59
367,2017,ALPES DE HAUTE PROVENCE,1.37,surface_habitable_moyenne_en_m2,67.89
368,2016,CHER,2.61,surface_habitable_moyenne_en_m2,69.82
369,2018,CHER,2.72,surface_habitable_moyenne_en_m2,69.91
370,2017,CHER,2.66,surface_habitable_moyenne_en_m2,69.87
371,2016,MORBIHAN,-0.21,surface_habitable_moyenne_en_m2,65.29
372,2018,MORBIHAN,0.03,surface_habitable_moyenne_en_m2,65.16
373,2017,MORBIHAN,-0.2,surface_habitable_moyenne_en_m2,65.27
374,2016,PUY DE DOME,1.88,surface_habitable_moyenne_en_m2,68.78
375,2017,PUY DE DOME,1.23,surface_habitable_moyenne_en_m2,68
376,2018,PUY DE DOME,1.45,surface_habitable_moyenne_en_m2,67.73
377,2016,HAUTE SAONE,1.26,surface_habitable_moyenne_en_m2,67.9
378,2018,HAUTE SAONE,1.23,surface_habitable_moyenne_en_m2,67.87
379,2017,HAUTE SAONE,1.23,surface_habitable_moyenne_en_m2,67.87
380,2016,PAS DE CALAIS,1.97,surface_habitable_moyenne_en_m2,70.94
381,2018,PAS DE CALAIS,2.36,surface_habitable_moyenne_en_m2,70.99
382,2017,PAS DE CALAIS,2.06,surface_habitable_moyenne_en_m2,71
383,2016,AIN,1.01,surface_habitable_moyenne_en_m2,67.91
384,2018,AIN,1.41,surface_habitable_moyenne_en_m2,67.69
385,2017,AIN,1.14,surface_habitable_moyenne_en_m2,67.91
386,2016,CALVADOS,1.24,surface_habitable_moyenne_en_m2,69.48
387,2018,CALVADOS,0.85,surface_habitable_moyenne_en_m2,69.13
388,2017,CALVADOS,0.86,surface_habitable_moyenne_en_m2,69.17
389,2016,CORREZE,3.53,surface_habitable_moyenne_en_m2,71.6
390,2018,CORREZE,4.25,surface_habitable_moyenne_en_m2,71.57
391,2017,CORREZE,3.92,surface_habitable_moyenne_en_m2,71.78
392,2016,ARDENNES,1.04,surface_habitable_moyenne_en_m2,70.23
393,2018,ARDENNES,2.1,surface_habitable_moyenne_en_m2,70.78
394,2017,ARDENNES,1.53,surface_habitable_moyenne_en_m2,70.68
395,2016,NORD,-0.37,surface_habitable_moyenne_en_m2,68.6
396,2017,NORD,-0.37,surface_habitable_moyenne_en_m2,68.57
397,2018,NORD,-0.52,surface_habitable_moyenne_en_m2,68.11
398,2016,TERRITOIRE DE BELFORT,1.56,surface_habitable_moyenne_en_m2,68.2
399,2017,TERRITOIRE DE BELFORT,1.6,surface_habitable_moyenne_en_m2,68.24
400,2018,TERRITOIRE DE BELFORT,1.56,surface_habitable_moyenne_en_m2,68.2
401,2016,LOIRE ATLANTIQUE,-2.05,surface_habitable_moyenne_en_m2,65.18
402,2018,LOIRE ATLANTIQUE,-2.28,surface_habitable_moyenne_en_m2,64.63
403,2017,LOIRE ATLANTIQUE,-2.19,surface_habitable_moyenne_en_m2,65.08
404,2016,YONNE,0.95,surface_habitable_moyenne_en_m2,67.59
405,2017,YONNE,0.99,surface_habitable_moyenne_en_m2,67.63
406,2018,YONNE,0.95,surface_habitable_moyenne_en_m2,67.59
407,2016,RHONE,-1.49,surface_habitable_moyenne_en_m2,65.41
408,2018,RHONE,-2.07,surface_habitable_moyenne_en_m2,64.21
409,2017,RHONE,-1.5,surface_habitable_moyenne_en_m2,65.27
410,2016,ILLE ET VILAINE,-0.42,surface_habitable_moyenne_en_m2,65.08
411,2018,ILLE ET VILAINE,-1.04,surface_habitable_moyenne_en_m2,64.09
412,2017,ILLE ET VILAINE,-0.51,surface_habitable_moyenne_en_m2,64.96
413,2016,LANDES,4.36,surface_habitable_moyenne_en_m2,72.43
414,2018,LANDES,3.57,surface_habitable_moyenne_en_m2,70.89
415,2017,LANDES,4.38,surface_habitable_moyenne_en_m2,72.24
416,2016,FINISTERE,-0.25,surface_habitable_moyenne_en_m2,65.25
417,2018,FINISTERE,0.17,surface_habitable_moyenne_en_m2,65.3
418,2017,FINISTERE,-0.18,surface_habitable_moyenne_en_m2,65.29
419,2016,HAUTE SAVOIE,-1.18,surface_habitable_moyenne_en_m2,65.72
420,2018,HAUTE SAVOIE,-0.93,surface_habitable_moyenne_en_m2,65.35
421,2017,HAUTE SAVOIE,-0.94,surface_habitable_moyenne_en_m2,65.83
422,2016,VAL D OISE,3.61,surface_habitable_moyenne_en_m2,66.11
423,2018,VAL D OISE,3.42,surface_habitable_moyenne_en_m2,65.4
424,2017,VAL D OISE,3.74,surface_habitable_moyenne_en_m2,65.98
425,2016,DORDOGNE,1.74,surface_habitable_moyenne_en_m2,69.81
426,2018,DORDOGNE,2.43,surface_habitable_moyenne_en_m2,69.75
427,2017,DORDOGNE,1.99,surface_habitable_moyenne_en_m2,69.85
428,2016,AUBE,-2.76,surface_habitable_moyenne_en_m2,66.43
429,2017,AUBE,-2.66,surface_habitable_moyenne_en_m2,66.49
430,2018,AUBE,-2.29,surface_habitable_moyenne_en_m2,66.39
431,2016,ESSONNE,2.45,surface_habitable_moyenne_en_m2,64.95
432,2018,ESSONNE,1.92,surface_habitable_moyenne_en_m2,63.9
433,2017,ESSONNE,2.13,surface_habitable_moyenne_en_m2,64.37
434,2016,COTE D OR,-0.03,surface_habitable_moyenne_en_m2,66.61
435,2017,COTE D OR,-0.12,surface_habitable_moyenne_en_m2,66.52
436,2018,COTE D OR,-0.11,surface_habitable_moyenne_en_m2,66.53
437,2016,MARNE,3.18,surface_habitable_moyenne_en_m2,72.37
438,2018,MARNE,3.19,surface_habitable_moyenne_en_m2,71.87
439,2017,MARNE,3.24,surface_habitable_moyenne_en_m2,72.39
440,2016,MEURTHE ET MOSELLE,-0.8,surface_habitable_moyenne_en_m2,68.39
441,2017,MEURTHE ET MOSELLE,-1.01,surface_habitable_moyenne_en_m2,68.14
442,2018,MEURTHE ET MOSELLE,-1.74,surface_habitable_moyenne_en_m2,66.94
443,2016,JURA,1.06,surface_habitable_moyenne_en_m2,67.7
444,2018,JURA,1.02,surface_habitable_moyenne_en_m2,67.66
445,2017,JURA,1.08,surface_habitable_moyenne_en_m2,67.72
446,2016,COTES D ARMOR,2.2,surface_habitable_moyenne_en_m2,67.7
447,2018,COTES D ARMOR,2.96,surface_habitable_moyenne_en_m2,68.09
448,2017,COTES D ARMOR,2.29,surface_habitable_moyenne_en_m2,67.76
449,2016,HAUTES PYRENEES,-0.38,surface_habitable_moyenne_en_m2,66.98
450,2018,HAUTES PYRENEES,-0.12,surface_habitable_moyenne_en_m2,66.82
451,2017,HAUTES PYRENEES,-0.26,surface_habitable_moyenne_en_m2,66.92
452,2016,HERAULT,1.04,surface_habitable_moyenne_en_m2,68.4
453,2018,HERAULT,1.2,surface_habitable_moyenne_en_m2,68.14
454,2017,HERAULT,1.17,surface_habitable_moyenne_en_m2,68.35
455,2016,SAONE ET LOIRE,0.24,surface_habitable_moyenne_en_m2,66.88
456,2018,SAONE ET LOIRE,0.33,surface_habitable_moyenne_en_m2,66.97
457,2017,SAONE ET LOIRE,0.3,surface_habitable_moyenne_en_m2,66.94
458,2016,PYRENEES ATLANTIQUES,-1.3,surface_habitable_moyenne_en_m2,66.77
459,2018,PYRENEES ATLANTIQUES,-1.44,surface_habitable_moyenne_en_m2,65.88
460,2017,PYRENEES ATLANTIQUES,-1.21,surface_habitable_moyenne_en_m2,66.65
461,2016,CHARENTE MARITIME,-1.54,surface_habitable_moyenne_en_m2,66.53
462,2017,CHARENTE MARITIME,-1.44,surface_habitable_moyenne_en_m2,66.42
463,2018,CHARENTE MARITIME,-1.86,surface_habitable_moyenne_en_m2,65.46
464,2016,ORNE,-2.47,surface_habitable_moyenne_en_m2,65.77
465,2018,ORNE,-2.14,surface_habitable_moyenne_en_m2,66.14
466,2017,ORNE,-2.33,surface_habitable_moyenne_en_m2,65.98
467,2016,SAVOIE,-1.75,surface_habitable_moyenne_en_m2,65.15
468,2018,SAVOIE,-1.99,surface_habitable_moyenne_en_m2,64.29
469,2017,SAVOIE,-1.69,surface_habitable_moyenne_en_m2,65.08
470,2016,DEUX SEVRES,-0.92,surface_habitable_moyenne_en_m2,67.15
471,2018,DEUX SEVRES,-0.48,surface_habitable_moyenne_en_m2,66.84
472,2017,DEUX SEVRES,-0.99,surface_habitable_moyenne_en_m2,66.87
473,2016,AUDE,2,surface_habitable_moyenne_en_m2,69.36
474,2017,AUDE,2.18,surface_habitable_moyenne_en_m2,69.36
475,2018,AUDE,2.36,surface_habitable_moyenne_en_m2,69.3
476,2016,DROME,2.4,surface_habitable_moyenne_en_m2,69.3
477,2017,DROME,2.53,surface_habitable_moyenne_en_m2,69.3
478,2018,DROME,2.94,surface_habitable_moyenne_en_m2,69.22
479,2016,EURE,0.81,surface_habitable_moyenne_en_m2,69.05
480,2018,EURE,0.78,surface_habitable_moyenne_en_m2,69.06
481,2017,EURE,0.7,surface_habitable_moyenne_en_m2,69.01
482,2016,HAUT RHIN,-1.54,surface_habitable_moyenne_en_m2,67.65
483,2018,HAUT RHIN,-0.8,surface_habitable_moyenne_en_m2,67.88
484,2017,HAUT RHIN,-1.39,surface_habitable_moyenne_en_m2,67.76
485,2016,LOIRET,-0.54,surface_habitable_moyenne_en_m2,66.67
486,2017,LOIRET,-0.52,surface_habitable_moyenne_en_m2,66.69
487,2018,LOIRET,-0.5,surface_habitable_moyenne_en_m2,66.69
488,2016,VAUCLUSE,3.08,surface_habitable_moyenne_en_m2,69.65
489,2018,VAUCLUSE,3,surface_habitable_moyenne_en_m2,69.03
490,2017,VAUCLUSE,3.12,surface_habitable_moyenne_en_m2,69.64
491,2016,INDRE,0.84,surface_habitable_moyenne_en_m2,68.05
492,2017,INDRE,0.76,surface_habitable_moyenne_en_m2,67.97
493,2018,INDRE,0.69,surface_habitable_moyenne_en_m2,67.88
494,2016,VOSGES,-2.07,surface_habitable_moyenne_en_m2,67.12
495,2018,VOSGES,-1.58,surface_habitable_moyenne_en_m2,67.1
496,2017,VOSGES,-2.1,surface_habitable_moyenne_en_m2,67.05
497,2016,INDRE ET LOIRE,-2.2,surface_habitable_moyenne_en_m2,65.01
498,2018,INDRE ET LOIRE,-2.34,surface_habitable_moyenne_en_m2,64.85
499,2017,INDRE ET LOIRE,-2.22,surface_habitable_moyenne_en_m2,64.99
500,2016,SARTHE,1.06,surface_habitable_moyenne_en_m2,68.29
501,2018,SARTHE,1.38,surface_habitable_moyenne_en_m2,68.29
502,2017,SARTHE,0.98,surface_habitable_moyenne_en_m2,68.25
503,2016,ALLIER,0.85,surface_habitable_moyenne_en_m2,67.75
504,2018,ALLIER,1.42,surface_habitable_moyenne_en_m2,67.7
505,2017,ALLIER,0.98,surface_habitable_moyenne_en_m2,67.75
506,2016,VENDEE,1.37,surface_habitable_moyenne_en_m2,68.6
507,2017,VENDEE,1.35,surface_habitable_moyenne_en_m2,68.62
508,2018,VENDEE,1.75,surface_habitable_moyenne_en_m2,68.66
509,2016,DOUBS,-1.52,surface_habitable_moyenne_en_m2,65.12
510,2017,DOUBS,-1.53,surface_habitable_moyenne_en_m2,65.11
511,2018,DOUBS,-1.52,surface_habitable_moyenne_en_m2,65.12
512,2016,HAUTE MARNE,-2.27,surface_habitable_moyenne_en_m2,66.92
513,2018,HAUTE MARNE,-1.58,surface_habitable_moyenne_en_m2,67.1
514,2017,HAUTE MARNE,-2.09,surface_habitable_moyenne_en_m2,67.06
515,2016,VAR,1.11,surface_habitable_moyenne_en_m2,67.68
516,2018,VAR,0.94,surface_habitable_moyenne_en_m2,66.97
517,2017,VAR,1.03,surface_habitable_moyenne_en_m2,67.55
518,2016,HAUTE VIENNE,-2.04,surface_habitable_moyenne_en_m2,66.03
519,2017,HAUTE VIENNE,-1.82,surface_habitable_moyenne_en_m2,66.04
520,2018,HAUTE VIENNE,-1.3,surface_habitable_moyenne_en_m2,66.02
521,2016,PYRENEES ORIENTALES,2.64,surface_habitable_moyenne_en_m2,70
522,2018,PYRENEES ORIENTALES,2.91,surface_habitable_moyenne_en_m2,69.85
523,2017,PYRENEES ORIENTALES,2.67,surface_habitable_moyenne_en_m2,69.85
524,2016,VAL DE MARNE,0.13,surface_habitable_moyenne_en_m2,62.63
525,2018,VAL DE MARNE,-0.32,surface_habitable_moyenne_en_m2,61.66
526,2017,VAL DE MARNE,-0.03,surface_habitable_moyenne_en_m2,62.21
527,2016,ARIEGE,4.68,surface_habitable_moyenne_en_m2,72.04
528,2018,ARIEGE,5.01,surface_habitable_moyenne_en_m2,71.95
529,2017,ARIEGE,4.77,surface_habitable_moyenne_en_m2,71.95
530,2016,EURE ET LOIR,-0.25,surface_habitable_moyenne_en_m2,66.96
531,2018,EURE ET LOIR,-0.02,surface_habitable_moyenne_en_m2,67.17
532,2017,EURE ET LOIR,-0.16,surface_habitable_moyenne_en_m2,67.05
533,2016,HAUTS DE SEINE,-2.07,surface_habitable_moyenne_en_m2,60.43
534,2018,HAUTS DE SEINE,-1.82,surface_habitable_moyenne_en_m2,60.16
535,2017,HAUTS DE SEINE,-1.99,surface_habitable_moyenne_en_m2,60.25
536,2016,YVELINES,2.18,surface_habitable_moyenne_en_m2,64.68
537,2018,YVELINES,1.99,surface_habitable_moyenne_en_m2,63.97
538,2017,YVELINES,2.07,surface_habitable_moyenne_en_m2,64.31
539,2016,OISE,-1.21,surface_habitable_moyenne_en_m2,67.76
540,2018,OISE,-1.16,surface_habitable_moyenne_en_m2,67.47
541,2017,OISE,-1.2,surface_habitable_moyenne_en_m2,67.74
542,2016,HAUTES ALPES,0.58,surface_habitable_moyenne_en_m2,67.15
543,2017,HAUTES ALPES,0.72,surface_habitable_moyenne_en_m2,67.24
544,2018,HAUTES ALPES,1.25,surface_habitable_moyenne_en_m2,67.28
545,2017,LOT,-0.04,surface_habitable_moyenne_en_m2,67.14
546,2018,LOT,0.21,surface_habitable_moyenne_en_m2,67.15
547,2016,CANTAL,-1.29,surface_habitable_moyenne_en_m2,65.61
548,2018,CANTAL,-0.64,surface_habitable_moyenne_en_m2,65.64
549,2017,CANTAL,-1.11,surface_habitable_moyenne_en_m2,65.66
550,2016,LOZERE,-1.17,surface_habitable_moyenne_en_m2,66.19
551,2017,LOZERE,-1.1,surface_habitable_moyenne_en_m2,66.08
552,2018,LOZERE,-1.07,surface_habitable_moyenne_en_m2,65.87
553,2016,BOUCHES DU RHONE,-0.38,surface_habitable_moyenne_en_m2,66.19
554,2018,BOUCHES DU RHONE,-0.17,surface_habitable_moyenne_en_m2,65.86
555,2017,BOUCHES DU RHONE,-0.29,surface_habitable_moyenne_en_m2,66.23
556,2016,NIEVRE,-1.72,surface_habitable_moyenne_en_m2,64.92
557,2018,NIEVRE,-1.77,surface_habitable_moyenne_en_m2,64.87
558,2017,NIEVRE,-1.72,surface_habitable_moyenne_en_m2,64.92
559,2016,PARIS,-5.42,surface_habitable_moyenne_en_m2,57.08
560,2018,PARIS,-5.02,surface_habitable_moyenne_en_m2,56.96
561,2017,PARIS,-5.13,surface_habitable_moyenne_en_m2,57.11
562,2016,MOSELLE,1.27,surface_habitable_moyenne_en_m2,70.46
563,2017,MOSELLE,1.11,surface_habitable_moyenne_en_m2,70.26
564,2018,MOSELLE,0.13,surface_habitable_moyenne_en_m2,68.81
565,2016,LOT,-0.01,surface_habitable_moyenne_en_m2,67.35
566,2016,CORSE DU SUD,1.53,surface_habitable_moyenne_en_m2,71.75
567,2018,CORSE DU SUD,1.78,surface_habitable_moyenne_en_m2,71.27
568,2016,SEINE SAINT DENIS,0.94,surface_habitable_moyenne_en_m2,63.44
569,2018,SEINE SAINT DENIS,1.15,surface_habitable_moyenne_en_m2,63.13
570,2017,SEINE SAINT DENIS,0.96,surface_habitable_moyenne_en_m2,63.2
571,2016,HAUTE CORSE,-1.13,surface_habitable_moyenne_en_m2,69.09
572,2018,HAUTE CORSE,-1.37,surface_habitable_moyenne_en_m2,68.12
573,2016,GERS,0.18,nombre_de_pieces_moyen,3.39
574,2018,GERS,0.16,nombre_de_pieces_moyen,3.35
575,2017,GERS,0.18,nombre_de_pieces_moyen,3.38
576,2016,LOT ET GARONNE,0.01,nombre_de_pieces_moyen,3.23
577,2018,LOT ET GARONNE,0.06,nombre_de_pieces_moyen,3.21
578,2017,LOT ET GARONNE,0.05,nombre_de_pieces_moyen,3.23
579,2016,ISERE,0.05,nombre_de_pieces_moyen,3.22
580,2017,ISERE,0.06,nombre_de_pieces_moyen,3.21
581,2018,ISERE,0.06,nombre_de_pieces_moyen,3.2
582,2016,LOIRE,-0.07,nombre_de_pieces_moyen,3.1
583,2018,LOIRE,0.01,nombre_de_pieces_moyen,3.15
584,2017,LOIRE,-0.08,nombre_de_pieces_moyen,3.07
585,2016,ALPES MARITIMES,-0.16,nombre_de_pieces_moyen,3.08
586,2018,ALPES MARITIMES,-0.18,nombre_de_pieces_moyen,3.03
587,2017,ALPES MARITIMES,-0.17,nombre_de_pieces_moyen,3.07
588,2016,MAYENNE,0.16,nombre_de_pieces_moyen,3.29
589,2018,MAYENNE,0.17,nombre_de_pieces_moyen,3.28
590,2017,MAYENNE,0.16,nombre_de_pieces_moyen,3.29
591,2016,CHARENTE,0.09,nombre_de_pieces_moyen,3.31
592,2018,CHARENTE,0.16,nombre_de_pieces_moyen,3.31
593,2017,CHARENTE,0.13,nombre_de_pieces_moyen,3.31
594,2016,HAUTE GARONNE,-0.15,nombre_de_pieces_moyen,3.06
595,2018,HAUTE GARONNE,-0.17,nombre_de_pieces_moyen,3.02
596,2017,HAUTE GARONNE,-0.15,nombre_de_pieces_moyen,3.05
597,2016,ARDECHE,0.11,nombre_de_pieces_moyen,3.28
598,2017,ARDECHE,0.13,nombre_de_pieces_moyen,3.28
599,2018,ARDECHE,0.14,nombre_de_pieces_moyen,3.28
600,2016,AISNE,-0.05,nombre_de_pieces_moyen,3.25
601,2018,AISNE,-0.03,nombre_de_pieces_moyen,3.23
602,2017,AISNE,-0.04,nombre_de_pieces_moyen,3.25
603,2016,LOIR ET CHER,0.16,nombre_de_pieces_moyen,3.35
604,2018,LOIR ET CHER,0.18,nombre_de_pieces_moyen,3.36
605,2017,LOIR ET CHER,0.17,nombre_de_pieces_moyen,3.36
606,2016,GIRONDE,-0.03,nombre_de_pieces_moyen,3.19
607,2018,GIRONDE,-0.03,nombre_de_pieces_moyen,3.12
608,2017,GIRONDE,-0.02,nombre_de_pieces_moyen,3.16
609,2016,VIENNE,-0.1,nombre_de_pieces_moyen,3.12
610,2017,VIENNE,-0.09,nombre_de_pieces_moyen,3.09
611,2018,VIENNE,-0.08,nombre_de_pieces_moyen,3.07
612,2016,TARN ET GARONNE,0.08,nombre_de_pieces_moyen,3.29
613,2018,TARN ET GARONNE,0.08,nombre_de_pieces_moyen,3.27
614,2017,TARN ET GARONNE,0.08,nombre_de_pieces_moyen,3.28
615,2016,MAINE ET LOIRE,0.08,nombre_de_pieces_moyen,3.21
616,2018,MAINE ET LOIRE,0.06,nombre_de_pieces_moyen,3.17
617,2017,MAINE ET LOIRE,0.08,nombre_de_pieces_moyen,3.21
618,2016,AVEYRON,-0.03,nombre_de_pieces_moyen,3.18
619,2018,AVEYRON,-0.02,nombre_de_pieces_moyen,3.17
620,2017,AVEYRON,-0.02,nombre_de_pieces_moyen,3.18
621,2016,CREUSE,0.04,nombre_de_pieces_moyen,3.26
622,2018,CREUSE,0.1,nombre_de_pieces_moyen,3.25
623,2017,CREUSE,0.08,nombre_de_pieces_moyen,3.26
624,2016,TARN,0.12,nombre_de_pieces_moyen,3.33
625,2018,TARN,0.14,nombre_de_pieces_moyen,3.33
626,2017,TARN,0.13,nombre_de_pieces_moyen,3.33
627,2016,SEINE MARITIME,0.03,nombre_de_pieces_moyen,3.3
628,2018,SEINE MARITIME,0.01,nombre_de_pieces_moyen,3.29
629,2017,SEINE MARITIME,0.02,nombre_de_pieces_moyen,3.3
630,2016,GARD,0.12,nombre_de_pieces_moyen,3.33
631,2018,GARD,0.13,nombre_de_pieces_moyen,3.32
632,2017,GARD,0.12,nombre_de_pieces_moyen,3.32
633,2016,MANCHE,-0.05,nombre_de_pieces_moyen,3.22
634,2018,MANCHE,0.06,nombre_de_pieces_moyen,3.34
635,2017,MANCHE,0.06,nombre_de_pieces_moyen,3.34
636,2016,BAS RHIN,-0.04,nombre_de_pieces_moyen,3.25
637,2018,BAS RHIN,-0.03,nombre_de_pieces_moyen,3.24
638,2017,BAS RHIN,-0.06,nombre_de_pieces_moyen,3.24
639,2016,SEINE ET MARNE,0.19,nombre_de_pieces_moyen,3.2
640,2018,SEINE ET MARNE,0.17,nombre_de_pieces_moyen,3.16
641,2017,SEINE ET MARNE,0.17,nombre_de_pieces_moyen,3.17
642,2016,HAUTE LOIRE,-0.03,nombre_de_pieces_moyen,3.14
643,2018,HAUTE LOIRE,-0.05,nombre_de_pieces_moyen,3.09
644,2017,HAUTE LOIRE,-0.04,nombre_de_pieces_moyen,3.11
645,2016,MEUSE,0.13,nombre_de_pieces_moyen,3.42
646,2017,MEUSE,0.12,nombre_de_pieces_moyen,3.42
647,2018,MEUSE,0.14,nombre_de_pieces_moyen,3.41
648,2016,SOMME,-0.13,nombre_de_pieces_moyen,3.17
649,2018,SOMME,-0.13,nombre_de_pieces_moyen,3.13
650,2017,SOMME,-0.15,nombre_de_pieces_moyen,3.14
651,2016,ALPES DE HAUTE PROVENCE,0.04,nombre_de_pieces_moyen,3.28
652,2018,ALPES DE HAUTE PROVENCE,-0.03,nombre_de_pieces_moyen,3.18
653,2017,ALPES DE HAUTE PROVENCE,-0.06,nombre_de_pieces_moyen,3.18
654,2016,CHER,0.11,nombre_de_pieces_moyen,3.3
655,2018,CHER,0.12,nombre_de_pieces_moyen,3.3
656,2017,CHER,0.11,nombre_de_pieces_moyen,3.3
657,2016,MORBIHAN,-0.01,nombre_de_pieces_moyen,3.06
658,2018,MORBIHAN,0.01,nombre_de_pieces_moyen,3.06
659,2017,MORBIHAN,0,nombre_de_pieces_moyen,3.06
660,2016,PUY DE DOME,0.11,nombre_de_pieces_moyen,3.28
661,2017,PUY DE DOME,0.09,nombre_de_pieces_moyen,3.24
662,2018,PUY DE DOME,0.08,nombre_de_pieces_moyen,3.22
663,2016,HAUTE SAONE,0.06,nombre_de_pieces_moyen,3.27
664,2018,HAUTE SAONE,0.05,nombre_de_pieces_moyen,3.26
665,2017,HAUTE SAONE,0.06,nombre_de_pieces_moyen,3.27
666,2016,PAS DE CALAIS,0.14,nombre_de_pieces_moyen,3.44
667,2018,PAS DE CALAIS,0.13,nombre_de_pieces_moyen,3.39
668,2017,PAS DE CALAIS,0.14,nombre_de_pieces_moyen,3.43
669,2016,AIN,0.01,nombre_de_pieces_moyen,3.18
670,2018,AIN,0.02,nombre_de_pieces_moyen,3.16
671,2017,AIN,0.03,nombre_de_pieces_moyen,3.18
672,2016,CALVADOS,0.01,nombre_de_pieces_moyen,3.28
673,2018,CALVADOS,-0.02,nombre_de_pieces_moyen,3.26
674,2017,CALVADOS,-0.02,nombre_de_pieces_moyen,3.26
675,2016,CORREZE,0.08,nombre_de_pieces_moyen,3.3
676,2018,CORREZE,0.09,nombre_de_pieces_moyen,3.24
677,2017,CORREZE,0.13,nombre_de_pieces_moyen,3.31
678,2016,ARDENNES,0.12,nombre_de_pieces_moyen,3.41
679,2018,ARDENNES,0.15,nombre_de_pieces_moyen,3.42
680,2017,ARDENNES,0.12,nombre_de_pieces_moyen,3.42
681,2016,NORD,-0.05,nombre_de_pieces_moyen,3.25
682,2017,NORD,-0.05,nombre_de_pieces_moyen,3.24
683,2018,NORD,-0.05,nombre_de_pieces_moyen,3.21
684,2016,TERRITOIRE DE BELFORT,0.08,nombre_de_pieces_moyen,3.29
685,2017,TERRITOIRE DE BELFORT,0.08,nombre_de_pieces_moyen,3.29
686,2018,TERRITOIRE DE BELFORT,0.07,nombre_de_pieces_moyen,3.28
687,2016,LOIRE ATLANTIQUE,-0.08,nombre_de_pieces_moyen,3.05
688,2018,LOIRE ATLANTIQUE,-0.09,nombre_de_pieces_moyen,3.02
689,2017,LOIRE ATLANTIQUE,-0.09,nombre_de_pieces_moyen,3.04
690,2016,YONNE,-0.06,nombre_de_pieces_moyen,3.15
691,2017,YONNE,-0.06,nombre_de_pieces_moyen,3.15
692,2018,YONNE,-0.07,nombre_de_pieces_moyen,3.14
693,2016,RHONE,-0.04,nombre_de_pieces_moyen,3.13
694,2018,RHONE,-0.07,nombre_de_pieces_moyen,3.07
695,2017,RHONE,-0.03,nombre_de_pieces_moyen,3.12
696,2016,ILLE ET VILAINE,-0.02,nombre_de_pieces_moyen,3.05
697,2018,ILLE ET VILAINE,-0.05,nombre_de_pieces_moyen,3
698,2017,ILLE ET VILAINE,-0.02,nombre_de_pieces_moyen,3.04
699,2016,LANDES,0.07,nombre_de_pieces_moyen,3.29
700,2018,LANDES,0.07,nombre_de_pieces_moyen,3.22
701,2017,LANDES,0.1,nombre_de_pieces_moyen,3.28
702,2016,FINISTERE,-0.01,nombre_de_pieces_moyen,3.06
703,2018,FINISTERE,0.01,nombre_de_pieces_moyen,3.06
704,2017,FINISTERE,0,nombre_de_pieces_moyen,3.06
705,2016,HAUTE SAVOIE,-0.08,nombre_de_pieces_moyen,3.09
706,2018,HAUTE SAVOIE,-0.07,nombre_de_pieces_moyen,3.07
707,2017,HAUTE SAVOIE,-0.05,nombre_de_pieces_moyen,3.1
708,2016,VAL D OISE,0.2,nombre_de_pieces_moyen,3.21
709,2018,VAL D OISE,0.19,nombre_de_pieces_moyen,3.18
710,2017,VAL D OISE,0.21,nombre_de_pieces_moyen,3.21
711,2016,DORDOGNE,0.06,nombre_de_pieces_moyen,3.28
712,2018,DORDOGNE,0.12,nombre_de_pieces_moyen,3.27
713,2017,DORDOGNE,0.1,nombre_de_pieces_moyen,3.28
714,2016,AUBE,-0.1,nombre_de_pieces_moyen,3.19
715,2017,AUBE,-0.12,nombre_de_pieces_moyen,3.18
716,2018,AUBE,-0.11,nombre_de_pieces_moyen,3.16
717,2016,ESSONNE,0.14,nombre_de_pieces_moyen,3.15
718,2018,ESSONNE,0.11,nombre_de_pieces_moyen,3.1
719,2017,ESSONNE,0.13,nombre_de_pieces_moyen,3.13
720,2016,COTE D OR,-0.07,nombre_de_pieces_moyen,3.14
721,2017,COTE D OR,-0.08,nombre_de_pieces_moyen,3.13
722,2018,COTE D OR,-0.08,nombre_de_pieces_moyen,3.13
723,2016,MARNE,0.08,nombre_de_pieces_moyen,3.37
724,2018,MARNE,0.07,nombre_de_pieces_moyen,3.34
725,2017,MARNE,0.07,nombre_de_pieces_moyen,3.37
726,2016,MEURTHE ET MOSELLE,-0.04,nombre_de_pieces_moyen,3.25
727,2017,MEURTHE ET MOSELLE,-0.07,nombre_de_pieces_moyen,3.23
728,2018,MEURTHE ET MOSELLE,-0.09,nombre_de_pieces_moyen,3.18
